model,valid_accuracy,accuracy,precision_macro,recall_macro,f1_macro
KNN,0.9440137812230835,0.9447348767737117,0.9445889239106051,0.930453344508579,0.9342902235200695
NaiveBayes,0.5714900947459087,0.5608663181478716,0.7007206618650724,0.6058419695927657,0.6140015053871354
SVM,0.9448751076658053,0.9462285287528006,0.9656115494928693,0.9281576230074746,0.9448932958064921
MLP,0.9457364341085271,0.9574309185959672,0.9550706478506574,0.9480955950999085,0.9506801605223391
RandomForest,0.9160206718346253,0.9290515309932785,0.954644027603492,0.9048276774729623,0.926665514941528
